Date/Time,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
20230807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0.038,0.017,0.007,0.118,0.28,0.142,0.048,0.152,0.114,0.11,0.103,0.032,0.329,0.372,0.071,0.096,0.1,0.112,0.218,0.129,0.117,0.073,0.028,0.063,0,0,0.049,0.088,0.007,0,0,0,0.001,0,0,0,0,0,0.085,0.089,0,0,0,0.002,0,0.1,0,0,0,0,0,0,0.166,0.192,0,0,0,0,0,0,0,0,0.001,0.007,0.009,0.009,0.006,0.172,0.223,0,0.001,0.051,0.214,0.487,0.472,0.466,0.471,0.369,0.247,0.341,0.324,0.302,0.273,0.314,0.443,0.489,0.413,0.379,0.363,0.379,0.14,0.084,0.094,0.262,0.373,0.061,0.013,0.013,0.014,0.013,0.013,0.013,0.013,0.013,0.014,0.132,0.294,0.039,0.029,0.037,0.037,0.037,0.037,0.016,0.019,0.021,0.019,0.018,0.018,0.017,0.016,0.017,0.014,0.009,0.012,0.012,0.012,0.012,0.012,0.053,0.066,0.178,0.245,0.023,0.013,0.055,0.025,0.007,0.008,0.011,0.012,0.012,0.01,0.009,0.007,0.01,0.011,0.012,0.011,0.009,0.006,0.082,0.298,0.062
20230808,0.01,0.008,0.006,0.009,0.01,0.01,0.009,0.01,0.009,0.006,0.007,0.01,0.01,0.01,0.009,0.01,0.007,0.007,0.009,0.009,0.01,0.009,0.01,0.009,0.006,0.007,0.01,0.026,0.287,0.129,0.009,0.006,0.007,0.011,0.009,0.01,0.01,0.009,0.007,0.007,0.01,0.01,0.01,0.01,0.009,0.006,0.008,0.01,0.01,0.009,0.01,0.007,0.006,0.009,0.01,0.009,0.01,0.008,0.007,0.007,0.01,0.009,0.01,0.009,0.006,0.26,0.147,0.009,0.01,0.009,0.007,0.006,0.009,0.01,0.009,0.009,0.007,0.007,0.007,0.007,0.005,0.004,0.001,0,0,0,0,0,0,0,0.063,0.01,0,0,0.001,0,0,0,0,0,0,0,0,0,0.015,0,0.134,0.141,0,0,0.152,0.15,0.064,0.047,0.018,0,0,0,0,0.002,0.011,0.183,0.021,0.008,0.083,0.029,0.027,0.102,0.069,0.006,0.055,0.026,0,0,0,0,0,0,0.036,0.096,0.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.001,0.005,0.012,0.155,0.343,0.497,0.547,0.326,0.22,0.248,0.255,0.362,0.192,0.099,0.107,0.024,0.012,0.012,0.011,0.013,0.02,0.014,0.016,0.02,0.022,0.022,0.231,0.232,0.021,0.018,0.018,0.036,0.026,0.02,0.048,0.019,0.018,0.019,0.3,0.163,0.018,0.017,0.017,0.023,0.018,0.016,0.015,0.014,0.013,0.016,0.015,0.016,0.015,0.016,0.013,0.012,0.156,0.295,0.014,0.014,0.014,0.013,0.01,0.015,0.013,0.01,0.01,0.01,0.009,0.007,0.008,0.011,0.113,0.038,0.015,0.058,0.135,0.332,0.299,0.065,0.012,0.01,0.009,0.007,0.01
20230809,0.274,0.133,0.011,0.01,0.007,0.008,0.01,0.01,0.011,0.01,0.009,0.007,0.009,0.01,0.009,0.01,0.009,0.006,0.008,0.009,0.01,0.009,0.01,0.281,0.148,0.01,0.01,0.009,0.01,0.006,0.007,0.01,0.009,0.01,0.012,0.006,0.007,0.011,0.01,0.009,0.01,0.006,0.008,0.01,0.01,0.009,0.009,0.006,0.008,0.01,0.009,0.01,0.008,0.006,0.008,0.274,0.146,0.01,0.007,0.006,0.009,0.01,0.009,0.009,0.007,0.006,0.01,0.009,0.01,0.008,0.006,0.008,0.009,0.01,0.009,0.007,0.007,0.009,0.008,0.006,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153,0.307,0.054,0.021,0,0,0,0,0,0,0,0,0,0,0,0.2,0.215,0.192,0.015,0,0,0,0,0,0,0,0.069,0.078,0.062,0.236,0.027,0.013,0.105,0.044,0,0.001,0,0.031,0.043,0.043,0.107,0.109,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.04,0.281,0.094,0.008,0.007,0.007,0.01,0.011,0.026,0.085,0.291,0.54,0.657,0.618,0.282,0.308,0.265,0.146,0.108,0.131,0.105,0.273,0.365,0.102,0.065,0.014,0.01,0.011,0.01,0.011,0.018,0.062,0.191,0.364,0.328,0.317,0.311,0.3,0.163,0.019,0.018,0.018,0.036,0.307,0.202,0.016,0.014,0.012,0.016,0.017,0.017,0.014,0.013,0.012,0.013,0.02,0.021,0.019,0.019,0.019,0.018,0.014,0.016,0.018,0.017,0.018,0.016,0.018,0.209,0.262,0.033,0.052,0.011,0.011,0.011,0.008,0.033,0.015,0.011,0.011,0.011,0.009,0.007,0.009,0.112
20230810,0.296,0.046,0.01,0.007,0.007,0.009,0.01,0.01,0.009,0.009,0.006,0.009,0.009,0.01,0.01,0.009,0.006,0.007,0.011,0.009,0.01,0.009,0.007,0.007,0.01,0.009,0.202,0.236,0.007,0.007,0.009,0.01,0.01,0.01,0.007,0.007,0.01,0.01,0.01,0.01,0.007,0.007,0.01,0.01,0.009,0.01,0.007,0.007,0.01,0.009,0.01,0.009,0.007,0.006,0.01,0.01,0.01,0.008,0.006,0.008,0.01,0.143,0.284,0.008,0.006,0.009,0.01,0.009,0.01,0.007,0.007,0.011,0.01,0.01,0.008,0.007,0.008,0.01,0.007,0.006,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052,0.013,0.004,0,0,0,0,0,0.161,0.171,0,0,0,0,0,0,0.137,0.136,0.056,0,0.001,0,0,0,0,0,0.035,0.04,0,0.112,0.131,0.041,0,0,0.001,0,0,0,0,0,0,0,0.011,0.003,0.031,0.023,0.252,0.231,0.007,0.084,0.023,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078,0.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.011,0.017,0.019,0.141,0.326,0.33,0.501,0.497,0.497,0.274,0.408,0.384,0.1,0.308,0.291,0.088,0.094,0.091,0.092,0.089,0.087,0.099,0.097,0.115,0.107,0.105,0.105,0.024,0.03,0.035,0.026,0.025,0.027,0.027,0.026,0.067,0.288,0.357,0.304,0.335,0.085,0.018,0.018,0.184,0.293,0.016,0.016,0.017,0.016,0.017,0.017,0.016,0.018,0.017,0.019,0.018,0.021,0.017,0.018,0.018,0.019,0.208,0.209,0.013,0.014,0.013,0.013,0.012,0.013,0.013,0.012,0.013,0.013,0.019,0.103,0.041,0.014,0.014,0.037,0.037,0.013,0.178,0.282,0.013
20230811,0.013,0.013,0.012,0.012,0.011,0.012,0.011,0.011,0.011,0.012,0.011,0.012,0.012,0.011,0.011,0.012,0.008,0.009,0.011,0.012,0.011,0.01,0.01,0.011,0.01,0.011,0.286,0.152,0.01,0.012,0.011,0.011,0.012,0.01,0.011,0.011,0.011,0.01,0.008,0.01,0.011,0.012,0.011,0.011,0.011,0.011,0.01,0.011,0.011,0.007,0.009,0.012,0.011,0.011,0.011,0.01,0.01,0.011,0.01,0.008,0.008,0.012,0.011,0.164,0.249,0.011,0.01,0.011,0.007,0.01,0.01,0.011,0.01,0.01,0.011,0.01,0.01,0.01,0.008,0.006,0.004,0.003,0,0,0,0,0,0,0,0,0,0.004,0.044,0.001,0.005,0.009,0.014,0.194,0.128,0,0,0,0,0,0,0.052,0.038,0,0,0,0.195,0.161,0.027,0,0,0,0,0,0.001,0,0,0,0,0.065,0.234,0.033,0.164,0.081,0.077,0.116,0.051,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0.248,0.473,0.363,0.188,0.188,0.189,0.132,0.003,0.008,0.254,0.218,0.025,0.026,0.022,0.026,0.028,0.058,0.077,0.034,0.024,0.019,0.015,0.014,0.012,0.009,0.013,0.013,0.014,0.013,0.012,0.013,0.265,0.163,0.013,0.013,0.013,0.015,0.016,0.015,0.015,0.015,0.017,0.017,0.015,0.015,0.016,0.014,0.015,0.016,0.019,0.016,0.016,0.015,0.013,0.014,0.017,0.014,0.012,0.011,0.011,0.009,0.131,0.271,0.011,0.012,0.01,0.01,0.007,0.008,0.011,0.012,0.102,0.046,0.014,0.029,0.058,0.063,0.235,0.303,0.297,0.297,0.293,0.103,0.011,0.054,0.011,0.153,0.278,0.008,0.007,0.01,0.01
20230812,0.011,0.01,0.011,0.008,0.007,0.011,0.01,0.01,0.01,0.009,0.009,0.008,0.01,0.01,0.01,0.009,0.221,0.212,0.009,0.01,0.01,0.009,0.009,0.007,0.007,0.011,0.009,0.01,0.01,0.007,0.007,0.009,0.01,0.01,0.011,0.009,0.007,0.01,0.01,0.01,0.01,0.009,0.007,0.008,0.01,0.01,0.053,0.296,0.087,0.007,0.011,0.01,0.01,0.009,0.006,0.007,0.011,0.009,0.01,0.009,0.007,0.006,0.011,0.01,0.009,0.009,0.007,0.007,0.01,0.01,0.011,0.009,0.006,0.008,0.01,0.009,0.01,0.007,0.004,0.004,0.003,0.001,0,0,0,0.215,0.11,0,0,0,0,0,0,0,0,0,0,0.032,0.083,0.008,0.003,0.004,0.003,0,0,0,0,0,0,0,0.122,0.081,0.03,0.014,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,0.025,0.002,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.132,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,0.032,0,0,0,0,0,0,0.002,0.004,0.013,0.179,0.439,0.418,0.201,0.204,0.226,0.234,0.192,0.211,0.331,0.493,0.048,0.036,0.033,0.036,0.036,0.037,0.032,0.029,0.062,0.091,0.033,0.127,0.05,0.034,0.09,0.092,0.04,0.138,0.35,0.174,0.101,0.012,0.013,0.013,0.014,0.015,0.017,0.021,0.027,0.026,0.014,0.015,0.014,0.011,0.013,0.015,0.014,0.015,0.014,0.014,0.015,0.165,0.28,0.012,0.014,0.015,0.014,0.015,0.014,0.014,0.012,0.012,0.013,0.014,0.013,0.01,0.01,0.01,0.008,0.006,0.01,0.01,0.01,0.01,0.01,0.01,0.007,0.05,0.054,0.029,0.086,0.011,0.012,0.256,0.179,0.059
20230813,0.059,0.179,0.318,0.302,0.299,0.019,0.011,0.011,0.01,0.092,0.288,0.058,0.011,0.01,0.01,0.01,0.01,0.007,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.007,0.01,0.01,0.01,0.01,0.01,0.01,0.213,0.223,0.009,0.007,0.011,0.01,0.01,0.01,0.01,0.01,0.009,0.01,0.006,0.01,0.01,0.01,0.01,0.009,0.01,0.009,0.008,0.008,0.01,0.01,0.009,0.01,0.01,0.009,0.009,0.006,0.01,0.01,0.01,0.01,0.011,0.055,0.297,0.072,0.01,0.009,0.01,0.01,0.008,0.007,0.005,0.001,0.001,0.059,0.081,0.006,0.005,0.004,0.031,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.063,0.004,0,0,0.197,0.165,0.446,0.137,0,0,0,0,0,0,0,0,0,0,0,0,0.074,0.086,0.082,0.065,0.03,0,0,0,0,0.113,0.194,0.011,0,0,0,0,0,0,0,0,0.093,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.023,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237,0.137,0,0,0.004,0.013,0.018,0.003,0.009,0.008,0.038,0.095,0.333,0.288,0.293,0.295,0.024,0.056,0.268,0.471,0.468,0.471,0.237,0.215,0.156,0.091,0.154,0.32,0.075,0.039,0.03,0.032,0.069,0.091,0.014,0.013,0.012,0.013,0.01,0.011,0.015,0.014,0.014,0.012,0.018,0.053,0.304,0.107,0.016,0.015,0.011,0.016,0.017,0.016,0.014,0.011,0.014,0.017,0.016,0.015,0.012,0.012,0.016,0.016,0.016,0.013,0.011,0.014,0.012,0.011,0.081,0.295,0.062,0.011,0.012,0.012,0.093,0.035,0.027,0.059,0.034,0.009,0.007,0.125,0.296,0.061,0.01,0.008,0.007,0.011,0.011,0.01,0.011,0.01,0.009,0.007,0.01,0.01,0.011
20230814,0.01,0.01,0.008,0.007,0.008,0.241,0.198,0.009,0.01,0.008,0.007,0.008,0.01,0.01,0.01,0.009,0.008,0.007,0.009,0.009,0.01,0.01,0.009,0.008,0.006,0.01,0.01,0.009,0.01,0.01,0.006,0.007,0.01,0.01,0.01,0.01,0.289,0.131,0.008,0.01,0.011,0.01,0.01,0.007,0.007,0.01,0.01,0.01,0.009,0.01,0.006,0.008,0.01,0.009,0.01,0.01,0.007,0.006,0.01,0.01,0.009,0.01,0.008,0.007,0.008,0.009,0.01,0.009,0.01,0.006,0.007,0.01,0.009,0.01,0.009,0.007,0.176,0.233,0.008,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0.005,0.028,0.133,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0.027,0.017,0,0,0,0,0.032,0.11,0.001,0,0,0,0,0,0.014,0.039,0.005,0,0.001,0.019,0.137,0.226,0.117,0.1,0.053,0.007,0,0,0,0,0,0,0,0.03,0.054,0.045,0.001,0,0,0,0,0,0,0,0,0,0,0.008,0.001,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,0.226,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.002,0.005,0.005,0.006,0.007,0.01,0.013,0.012,0.011,0.022,0.044,0.075,0.331,0.34,0.289,0.195,0.197,0.195,0.364,0.477,0.208,0.191,0.065,0.02,0.031,0.028,0.033,0.032,0.034,0.022,0.011,0.011,0.183,0.28,0.02,0.016,0.012,0.011,0.09,0.016,0.016,0.015,0.056,0.318,0.186,0.039,0.02,0.054,0.041,0.067,0.044,0.017,0.02,0.019,0.019,0.019,0.014,0.015,0.017,0.017,0.017,0.015,0.012,0.008,0.009,0.302,0.193,0.012,0.011,0.009,0.008,0.012,0.013,0.024,0.028,0.009,0.008,0.012,0.012,0.012,0.011,0.007,0.009,0.012,0.012,0.011,0.088
20230815,0.295,0.053,0.012,0.012,0.01,0.007,0.008,0.011,0.011,0.011,0.008,0.006,0.01,0.012,0.01,0.009,0.007,0.008,0.012,0.01,0.01,0.007,0.007,0.011,0.011,0.01,0.007,0.007,0.011,0.011,0.011,0.054,0.299,0.084,0.01,0.011,0.01,0.01,0.008,0.007,0.011,0.01,0.01,0.01,0.011,0.007,0.007,0.01,0.01,0.01,0.01,0.01,0.006,0.008,0.01,0.01,0.01,0.01,0.008,0.007,0.009,0.01,0.009,0.01,0.01,0.007,0.006,0.011,0.01,0.009,0.01,0.008,0.006,0.249,0.171,0.01,0.009,0.009,0.003,0.001,0.001,0,0,0,0,0,0,0.001,0.103,0.03,0.004,0,0,0,0,0,0,0,0,0,0.041,0.037,0,0,0,0,0,0.001,0.146,0.079,0,0,0,0,0,0,0.007,0,0,0,0.024,0.014,0.014,0.032,0.009,0.009,0,0,0,0,0,0,0,0.002,0,0,0,0.005,0.021,0,0,0.019,0.02,0,0,0,0.004,0.039,0.007,0.181,0,0,0,0,0.036,0.206,0.102,0.08,0.12,0.128,0,0,0.026,0.013,0.015,0,0.009,0.011,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153,0.242,0,0,0,0,0,0,0,0,0,0,0.002,0.004,0.005,0.007,0.006,0.009,0.063,0.403,0.566,0.533,0.526,0.52,0.321,0.247,0.254,0.257,0.031,0.289,0.171,0.03,0.029,0.047,0.119,0.019,0.012,0.011,0.008,0.008,0.013,0.015,0.018,0.016,0.017,0.015,0.012,0.015,0.015,0.017,0.016,0.021,0.014,0.007,0.094,0.016,0.015,0.015,0.109,0.299,0.045,0.015,0.016,0.019,0.018,0.015,0.013,0.05,0.053,0.03,0.048,0.096,0.043,0.047,0.008,0.012,0.013,0.012,0.011,0.011,0.011,0.008,0.008,0.01,0.011,0.011,0.185,0.25,0.008,0.008,0.011,0.011,0.011,0.01,0.01,0.008,0.008
20230816,0.011,0.01,0.01,0.01,0.008,0.007,0.01,0.01,0.01,0.01,0.009,0.007,0.008,0.01,0.01,0.01,0.01,0.006,0.007,0.01,0.009,0.01,0.01,0.127,0.291,0.011,0.009,0.01,0.009,0.01,0.007,0.023,0.032,0.031,0.031,0.019,0.01,0.014,0.012,0.012,0.012,0.012,0.011,0.01,0.007,0.009,0.01,0.01,0.01,0.01,0.009,0.006,0.01,0.01,0.01,0.01,0.009,0.008,0.007,0.009,0.01,0.01,0.009,0.009,0.286,0.126,0.01,0.01,0.009,0.009,0.007,0.007,0.01,0.009,0.01,0.009,0.024,0.147,0.019,0.056,0.014,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0.01,0.181,0.161,0.004,0,0,0,0,0,0,0,0,0.137,0.031,0,0,0,0,0,0,0.003,0.054,0.006,0,0.001,0,0,0.082,0.278,0.063,0,0.054,0,0,0,0,0,0,0,0.005,0.026,0.026,0.064,0.035,0.001,0,0,0,0,0.007,0.068,0.159,0.006,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.07,0,0,0,0,0,0,0,0,0,0,0,0.038,0.047,0.046,0.046,0.005,0,0,0.002,0.003,0.005,0.238,0.247,0.04,0.06,0.156,0.343,0.345,0.348,0.323,0.465,0.464,0.468,0.465,0.467,0.474,0.442,0.3,0.309,0.38,0.496,0.158,0.106,0.3,0.37,0.208,0.092,0.091,0.09,0.088,0.126,0.327,0.17,0.036,0.037,0.036,0.037,0.03,0.032,0.029,0.019,0.02,0.018,0.019,0.019,0.019,0.019,0.018,0.018,0.018,0.033,0.3,0.178,0.041,0.04,0.04,0.017,0.022,0.021,0.021,0.02,0.02,0.017,0.014,0.012,0.008,0.008,0.071,0.023,0.039,0.015,0.019,0.045,0.172,0.298,0.038,0.012,0.011,0.008,0.01,0.013,0.012,0.012,0.011,0.012
