Date/Time,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
20230807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061,0.065,0.086,0.085,0,0,0.004,0.008,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0.009,0.029,0.009,0.151,0.196,0.129,0.002,0.197,0.247,0.206,0.028,0.014,0.106,0.129,0.146,0.142,0.119,0.053,0.042,0.09,0.06,0.031,0.004,0.008,0.02,0.117,0.101,0.087,0.081,0.073,0.065,0.018,0.009,0.043,0.04,0.033,0.024,0.019,0.02,0.016,0.009,0.003,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.003,0.01,0.029,0.039,0.045,0.054,0.058,0.015,0.04,0.073,0.099,0.096,0.102,0.09,0.074,0.069,0.06,0.051,0.057,0.077,0.079,0.063,0.07,0.027,0.027,0.064,0.066,0.011,0,0,0,0.126,0.248,0.262,0.279,0.293,0.065,0.042,0,0.062,0.064,0.002,0.039,0.065,0.002,0.007,0.077,0,0.048,0.092,0.093,0.098,0.104,0.109,0.12,0.066,0.041,0.019,0.205,0.182,0.183,0.177,0.204,0.306,0.259,0.298,0.342,0.264,0.263,0.333,0.365,0.254,0.326,0.198,0.218,0.32,0.178,0.185,0.106,0.095,0.105,0.105,0.107,0.083,0.076,0.101,0.107,0.119,0.169,0.142,0.016,0.171,0.143,0.193,0.191,0.177,0.149,0.157,0.119,0.103,0.093,0.076,0.075,0.051,0.03,0.022,0.019,0.015,0.013,0.011,0.01,0.011,0.016,0.011,0.006,0.007,0.005,0,0,0.003,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.001,0.001,0.003,0.017,0.04,0.046,0.045,0.05,0.061,0.089,0.107,0.105,0.019,0,0.016,0.022,0.033,0.046,0.052,0.05,0.052,0.063,0.07,0.082,0.083,0.059,0.065,0.012,0,0,0.15,0.22,0.238,0.213,0.165,0.2,0.138,0.252,0.059,0.012,0.039,0,0.056,0.052,0.023,0.056,0.107,0.092,0.095,0.056,0,0,0,0.02,0.106,0.1,0.081,0.103,0.116,0.345,0.196,0.32,0.347,0.26,0.345,0.342,0.341,0.338,0.33,0.213,0.248,0.325,0.312,0.149,0.168,0.313,0.307,0.199,0.009,0.287,0.295,0.286,0.288,0.283,0.281,0.301,0.298,0.291,0.284,0.277,0.272,0.257,0.237,0.217,0.196,0.111,0.101,0.115,0.09,0.074,0.064,0.049,0.041,0.04,0.046,0.039,0.035,0.029,0.023,0.017,0.014,0.011,0.004,0.001,0.005,0.003,0.002,0.003,0.003,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.005,0.02,0.035,0.039,0.047,0.048,0.048,0.054,0.072,0.099,0.108,0.016,0.04,0.061,0.07,0.065,0.057,0.049,0.043,0.016,0.018,0.066,0.073,0.082,0.093,0.075,0.073,0.013,0,0.007,0.216,0.209,0.004,0.014,0.03,0.041,0.051,0.038,0.034,0.054,0.014,0,0.058,0.259,0.266,0.275,0.238,0.254,0.226,0.252,0.175,0.266,0.092,0.067,0.072,0.04,0.052,0.002,0.011,0.076,0,0.08,0.341,0.338,0.333,0.331,0.33,0.27,0.181,0.297,0.316,0.196,0.155,0.008,0.017,0.271,0.309,0.304,0.301,0.295,0.29,0.287,0.285,0.276,0.27,0.293,0.293,0.297,0.289,0.289,0.271,0.27,0.244,0.214,0.205,0.177,0.146,0.115,0.065,0.004,0.065,0.058,0.052,0.04,0.044,0.042,0.038,0.036,0.037,0.032,0.025,0.014,0.013,0.008,0.011,0.007,0.005,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.019,0.027,0.033,0.041,0.042,0.043,0.05,0.068,0.008,0.081,0.066,0.046,0.055,0.011,0.027,0.053,0.048,0.036,0.04,0.049,0.063,0.024,0.041,0.093,0.072,0.075,0.01,0,0.044,0.072,0.223,0.121,0.169,0.284,0.131,0.041,0.043,0.047,0.052,0.041,0,0.06,0.01,0,0,0,0.018,0.088,0.094,0.092,0.101,0.102,0.103,0.107,0.161,0.36,0.363,0.361,0.324,0.315,0.317,0.322,0.322,0.324,0.321,0.321,0.321,0.322,0.324,0.335,0.336,0.306,0.173,0.191,0.098,0.186,0.322,0.321,0.315,0.309,0.304,0.238,0.222,0.137,0.301,0.299,0.292,0.283,0.281,0.262,0.24,0.233,0.216,0.21,0.183,0.151,0.144,0.079,0,0.061,0.054,0.051,0.044,0.036,0.039,0.032,0.02,0.015,0.006,0.003,0.002,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.012,0.03,0.005,0.026,0.048,0.049,0.053,0.064,0.088,0.102,0.108,0.096,0.082,0.076,0.046,0.001,0.041,0.041,0.038,0.049,0.062,0.078,0.085,0.097,0.102,0.077,0.081,0.014,0,0,0,0.114,0.263,0.276,0.29,0.299,0.304,0.308,0.312,0.317,0.321,0.322,0.323,0.322,0.262,0.286,0.175,0.095,0.329,0.334,0.335,0.332,0.333,0.337,0.3,0.097,0.098,0.101,0.095,0.076,0.025,0.018,0.058,0.126,0.28,0.277,0.275,0.272,0.27,0.266,0.262,0.261,0.252,0.104,0.105,0.25,0.247,0.239,0.233,0.227,0.223,0.22,0.103,0.024,0.011,0.009,0.002,0.001,0,0.136,0.254,0.247,0.237,0.217,0.192,0.174,0.147,0.133,0.106,0.079,0.056,0.042,0.035,0.015,0.032,0.033,0.015,0.014,0.016,0.012,0.007,0.007,0.015,0.015,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.021,0.026,0.032,0.011,0.02,0.06,0.053,0.084,0.094,0.079,0.069,0.07,0.064,0.059,0.056,0.048,0.051,0.058,0.068,0.078,0.062,0,0.093,0.078,0.082,0.016,0,0,0.043,0.199,0.084,0.199,0.267,0.277,0.282,0.288,0.294,0.297,0.302,0.302,0.086,0.011,0,0,0,0.045,0.083,0.084,0.082,0.084,0.036,0,0.089,0.095,0.094,0.094,0.093,0.092,0.094,0.097,0.095,0.022,0.068,0.089,0.09,0.088,0.176,0.046,0.27,0.324,0.313,0.151,0.169,0.314,0.31,0.309,0.303,0.294,0.289,0.285,0.28,0.276,0.27,0.294,0.291,0.191,0.222,0.271,0.074,0.044,0.247,0.232,0.204,0.178,0.159,0.144,0.139,0.124,0.103,0.071,0.06,0.057,0.051,0.039,0.003,0.012,0.029,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.008,0.014,0.019,0.017,0.034,0.051,0.025,0.024,0.043,0.043,0.052,0.001,0.035,0.018,0.002,0.056,0.081,0.075,0.06,0.035,0.04,0.083,0.103,0.088,0.086,0.071,0.084,0.082,0.062,0.04,0.078,0.209,0.232,0.241,0.196,0.044,0.032,0.115,0.3,0.142,0.242,0.278,0.27,0.213,0.027,0.079,0.073,0.076,0.058,0.031,0,0,0,0.008,0.211,0.369,0.329,0.316,0.243,0.358,0.091,0.079,0.07,0.033,0.046,0.074,0.066,0.07,0.064,0.063,0.064,0.059,0.069,0.072,0.08,0.106,0.086,0.183,0.035,0.309,0.301,0.295,0.076,0.14,0.069,0.186,0.288,0.255,0.112,0.183,0.211,0.158,0.113,0.088,0.072,0.038,0.028,0.074,0.115,0.094,0.048,0.03,0.016,0,0.071,0.054,0.05,0.049,0.058,0.054,0.045,0.037,0.019,0.012,0.006,0.002,0.001,0.002,0,0.003,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.007,0.013,0.015,0.019,0.025,0.027,0.01,0.026,0.08,0.105,0.1,0.094,0.062,0.059,0.063,0.073,0.063,0.051,0.034,0.044,0.083,0.1,0.108,0.118,0.137,0.164,0,0.073,0.133,0.205,0.207,0.207,0.272,0.262,0.218,0.217,0.211,0.145,0.194,0.088,0.074,0.093,0.086,0.094,0.092,0.105,0.106,0.175,0.309,0.307,0.305,0.275,0.305,0.297,0.312,0.157,0.127,0.307,0.192,0.047,0.075,0.299,0.236,0.307,0.166,0,0.194,0.008,0.21,0.131,0.12,0.119,0.092,0.002,0.031,0.063,0.011,0.023,0.249,0.279,0.081,0.19,0.14,0.219,0.158,0.167,0.183,0.217,0.3,0.299,0.292,0.175,0.281,0.273,0.131,0.23,0.196,0.169,0.131,0.121,0.094,0.075,0.05,0.039,0.037,0.029,0.029,0.027,0.017,0.006,0.002,0.012,0.011,0.014,0.012,0.012,0.03,0.026,0.029,0.015,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.024,0.028,0.048,0.051,0.052,0.036,0.031,0.031,0.033,0.04,0.049,0.057,0.058,0.055,0.033,0.041,0.012,0.016,0.071,0.107,0.113,0.116,0.159,0.111,0.119,0.125,0.176,0.023,0.177,0.262,0.264,0.267,0.224,0.258,0.157,0.096,0.019,0.174,0.268,0.12,0.242,0.162,0.014,0,0.092,0.267,0.053,0.276,0.238,0.286,0.183,0.246,0.247,0.313,0.177,0,0,0,0,0.114,0.114,0.115,0.116,0.104,0.112,0.069,0,0.095,0.09,0.087,0.053,0.076,0.084,0.11,0.119,0.271,0.267,0.262,0.259,0.254,0.246,0.24,0.234,0.22,0.22,0.214,0.186,0.205,0.198,0.195,0.178,0.17,0.168,0.157,0.141,0.109,0.093,0.178,0.001,0.061,0.086,0.068,0.061,0.055,0.044,0.037,0.03,0.024,0.02,0.012,0.005,0,0,0,0,0.003,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
